image_path,image_id,sequence,frame_id,viewer,human_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,depth_m,distance_m,distance_class_3,depth_source,scene_type,recording,worker_key
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001428.png,Garage1_001428,Garage1,1428,rgb,Garage1_001428#1,521.324219,405.133392,591.150269,688.783936,4.312500,4.312500,3-5,conf2,indoor_garage,Garage1,Garage1_001428#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001704.png,Garage1_001704,Garage1,1704,rgb,Garage1_001704#1,665.895020,407.357941,761.342163,705.431519,4.230469,4.230469,3-5,conf2,indoor_garage,Garage1,Garage1_001704#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001704.png,Garage1_001704,Garage1,1704,rgb,Garage1_001704#2,234.243759,420.801544,340.251282,628.791016,5.441406,5.441406,>5,conf1,indoor_garage,Garage1,Garage1_001704#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001728.png,Garage1_001728,Garage1,1728,rgb,Garage1_001728#1,634.700562,403.564514,741.822998,707.288696,4.125000,4.125000,3-5,conf1,indoor_garage,Garage1,Garage1_001728#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001728.png,Garage1_001728,Garage1,1728,rgb,Garage1_001728#2,321.087463,414.207825,387.746796,608.451599,5.878906,5.878906,>5,conf2,indoor_garage,Garage1,Garage1_001728#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001752.png,Garage1_001752,Garage1,1752,rgb,Garage1_001752#1,590.725220,408.965881,713.065674,703.391418,4.156250,4.156250,3-5,conf2,indoor_garage,Garage1,Garage1_001752#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001752.png,Garage1_001752,Garage1,1752,rgb,Garage1_001752#2,382.618835,417.358948,442.150909,591.459900,6.392578,6.392578,>5,conf2,indoor_garage,Garage1,Garage1_001752#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001776.png,Garage1_001776,Garage1,1776,rgb,Garage1_001776#1,585.849182,406.483154,654.386475,693.457214,4.167969,4.167969,3-5,conf2,indoor_garage,Garage1,Garage1_001776#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001776.png,Garage1_001776,Garage1,1776,rgb,Garage1_001776#2,416.894623,409.889465,495.442657,581.796204,7.005859,7.005859,>5,conf2,indoor_garage,Garage1,Garage1_001776#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001800.png,Garage1_001800,Garage1,1800,rgb,Garage1_001800#1,574.820312,409.168488,652.031006,698.808960,4.257812,4.257812,3-5,conf2,indoor_garage,Garage1,Garage1_001800#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001800.png,Garage1_001800,Garage1,1800,rgb,Garage1_001800#2,465.462158,424.379944,531.990784,574.458313,7.160156,7.160156,>5,conf2,indoor_garage,Garage1,Garage1_001800#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001824.png,Garage1_001824,Garage1,1824,rgb,Garage1_001824#1,578.655151,407.978638,647.989258,697.534363,4.261719,4.261719,3-5,conf2,indoor_garage,Garage1,Garage1_001824#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001824.png,Garage1_001824,Garage1,1824,rgb,Garage1_001824#2,505.846710,419.423859,568.511963,563.185181,7.707031,7.707031,>5,conf1,indoor_garage,Garage1,Garage1_001824#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001848.png,Garage1_001848,Garage1,1848,rgb,Garage1_001848#1,573.952759,407.516174,660.550659,700.177124,4.296875,4.296875,3-5,conf2,indoor_garage,Garage1,Garage1_001848#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001848.png,Garage1_001848,Garage1,1848,rgb,Garage1_001848#2,543.959045,412.958344,574.126526,552.324097,,,>5,none,indoor_garage,Garage1,Garage1_001848#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001872.png,Garage1_001872,Garage1,1872,rgb,Garage1_001872#1,565.576477,405.879883,655.365479,677.092224,4.480469,4.480469,3-5,conf2,indoor_garage,Garage1,Garage1_001872#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001896.png,Garage1_001896,Garage1,1896,rgb,Garage1_001896#1,577.556274,405.235016,666.727051,668.189087,4.687500,4.687500,3-5,conf2,indoor_garage,Garage1,Garage1_001896#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001932.png,Garage1_001932,Garage1,1932,rgb,Garage1_001932#1,624.013062,408.134308,705.477295,650.337646,5.046875,5.046875,>5,conf2,indoor_garage,Garage1,Garage1_001932#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002376.png,Garage1_002376,Garage1,2376,rgb,Garage1_002376#1,493.400757,410.905701,533.806824,564.040283,7.816406,7.816406,>5,conf2,indoor_garage,Garage1,Garage1_002376#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002472.png,Garage1_002472,Garage1,2472,rgb,Garage1_002472#1,374.672882,405.078461,438.475342,589.186279,6.707031,6.707031,>5,conf2,indoor_garage,Garage1,Garage1_002472#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002472.png,Garage1_002472,Garage1,2472,rgb,Garage1_002472#2,568.123291,404.656128,581.468384,445.955841,18.437500,18.437500,>5,conf1,indoor_garage,Garage1,Garage1_002472#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002532.png,Garage1_002532,Garage1,2532,rgb,Garage1_002532#1,379.019257,411.142548,433.652435,595.249023,6.343750,6.343750,>5,conf2,indoor_garage,Garage1,Garage1_002532#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002532.png,Garage1_002532,Garage1,2532,rgb,Garage1_002532#2,565.463257,406.593323,579.460938,447.660217,,,>5,none,indoor_garage,Garage1,Garage1_002532#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002568.png,Garage1_002568,Garage1,2568,rgb,Garage1_002568#1,423.076904,406.198975,481.593384,584.834717,6.929688,6.929688,>5,conf2,indoor_garage,Garage1,Garage1_002568#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002568.png,Garage1_002568,Garage1,2568,rgb,Garage1_002568#2,559.333332,409.666662,575.333332,447.666662,,,>5,none,indoor_garage,Garage1,Garage1_002568#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002616.png,Garage1_002616,Garage1,2616,rgb,Garage1_002616#1,442.629181,410.961426,493.464752,565.123230,7.828125,7.828125,>5,conf1,indoor_garage,Garage1,Garage1_002616#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002616.png,Garage1_002616,Garage1,2616,rgb,Garage1_002616#2,555.043396,409.125092,570.847595,449.774506,18.328125,18.328125,>5,conf1,indoor_garage,Garage1,Garage1_002616#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002652.png,Garage1_002652,Garage1,2652,rgb,Garage1_002652#1,439.227264,409.601624,485.830261,549.006470,8.601562,8.601562,>5,conf1,indoor_garage,Garage1,Garage1_002652#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002652.png,Garage1_002652,Garage1,2652,rgb,Garage1_002652#2,551.751221,408.816010,566.942078,451.231842,18.539062,18.539062,>5,conf1,indoor_garage,Garage1,Garage1_002652#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002676.png,Garage1_002676,Garage1,2676,rgb,Garage1_002676#1,437.337341,409.276611,480.145294,541.162842,9.000000,9.000000,>5,conf2,indoor_garage,Garage1,Garage1_002676#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002676.png,Garage1_002676,Garage1,2676,rgb,Garage1_002676#2,548.770508,406.610046,564.637329,451.832520,18.421875,18.421875,>5,conf1,indoor_garage,Garage1,Garage1_002676#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002784.png,Garage1_002784,Garage1,2784,rgb,Garage1_002784#1,488.417450,411.819855,529.474609,518.668335,17.578125,17.578125,>5,conf1,indoor_garage,Garage1,Garage1_002784#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002784.png,Garage1_002784,Garage1,2784,rgb,Garage1_002784#2,529.696106,408.201233,548.477905,459.886963,,,>5,none,indoor_garage,Garage1,Garage1_002784#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002856.png,Garage1_002856,Garage1,2856,rgb,Garage1_002856#1,563.279114,409.504211,600.868286,523.917664,,,>5,none,indoor_garage,Garage1,Garage1_002856#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002856.png,Garage1_002856,Garage1,2856,rgb,Garage1_002856#2,516.202168,403.594951,536.255330,458.127421,,,>5,none,indoor_garage,Garage1,Garage1_002856#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002892.png,Garage1_002892,Garage1,2892,rgb,Garage1_002892#1,575.839844,409.316071,621.456055,534.662659,,,>5,none,indoor_garage,Garage1,Garage1_002892#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002892.png,Garage1_002892,Garage1,2892,rgb,Garage1_002892#2,511.774475,405.975311,532.599976,462.738464,,,>5,none,indoor_garage,Garage1,Garage1_002892#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002916.png,Garage1_002916,Garage1,2916,rgb,Garage1_002916#1,580.305664,411.118378,625.299072,541.064453,9.046875,9.046875,>5,conf1,indoor_garage,Garage1,Garage1_002916#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002916.png,Garage1_002916,Garage1,2916,rgb,Garage1_002916#2,509.045227,406.034546,529.847412,465.375549,,,>5,none,indoor_garage,Garage1,Garage1_002916#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002988.png,Garage1_002988,Garage1,2988,rgb,Garage1_002988#1,557.676636,408.194458,609.904175,567.477539,7.832031,7.832031,>5,conf2,indoor_garage,Garage1,Garage1_002988#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002988.png,Garage1_002988,Garage1,2988,rgb,Garage1_002988#2,504.042480,406.016418,526.785278,468.470215,,,>5,none,indoor_garage,Garage1,Garage1_002988#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003012.png,Garage1_003012,Garage1,3012,rgb,Garage1_003012#1,540.389099,411.567261,596.049866,578.070007,7.328125,7.328125,>5,conf2,indoor_garage,Garage1,Garage1_003012#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003012.png,Garage1_003012,Garage1,3012,rgb,Garage1_003012#2,505.196136,406.034363,526.525513,471.628052,,,>5,none,indoor_garage,Garage1,Garage1_003012#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003048.png,Garage1_003048,Garage1,3048,rgb,Garage1_003048#1,510.852173,408.012817,569.940125,594.557556,6.619141,6.619141,>5,conf2,indoor_garage,Garage1,Garage1_003048#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003048.png,Garage1_003048,Garage1,3048,rgb,Garage1_003048#2,504.810791,405.848602,525.746521,446.080811,,,>5,none,indoor_garage,Garage1,Garage1_003048#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003072.png,Garage1_003072,Garage1,3072,rgb,Garage1_003072#1,473.821930,410.738068,546.006348,608.719727,6.265625,6.265625,>5,conf2,indoor_garage,Garage1,Garage1_003072#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003156.png,Garage1_003156,Garage1,3156,rgb,Garage1_003156#1,312.936951,410.729187,392.461670,652.747314,4.851562,4.851562,3-5,conf2,indoor_garage,Garage1,Garage1_003156#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003156.png,Garage1_003156,Garage1,3156,rgb,Garage1_003156#2,509.244324,407.073944,537.420227,487.591278,,,>5,none,indoor_garage,Garage1,Garage1_003156#2
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000060.png,Garage2_000060,Garage2,60,rgb,Garage2_000060#1,286.664001,387.779846,400.092468,719.264038,2.955078,2.955078,<3,conf2,indoor_garage,Garage2,Garage2_000060#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000084.png,Garage2_000084,Garage2,84,rgb,Garage2_000084#1,355.699341,397.748108,481.197052,719.586182,3.277344,3.277344,3-5,conf2,indoor_garage,Garage2,Garage2_000084#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000120.png,Garage2_000120,Garage2,120,rgb,Garage2_000120#1,479.908997,400.446991,610.769714,706.287720,3.937500,3.937500,3-5,conf2,indoor_garage,Garage2,Garage2_000120#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000144.png,Garage2_000144,Garage2,144,rgb,Garage2_000144#1,537.893188,403.664154,662.238770,696.653137,4.250000,4.250000,3-5,conf2,indoor_garage,Garage2,Garage2_000144#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000168.png,Garage2_000168,Garage2,168,rgb,Garage2_000168#1,579.962524,398.190399,718.824890,672.308533,4.613281,4.613281,3-5,conf2,indoor_garage,Garage2,Garage2_000168#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000216.png,Garage2_000216,Garage2,216,rgb,Garage2_000216#1,696.328125,406.097717,779.691650,636.141724,5.253906,5.253906,>5,conf2,indoor_garage,Garage2,Garage2_000216#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000468.png,Garage2_000468,Garage2,468,rgb,Garage2_000468#1,701.312378,408.660828,756.232422,556.768066,8.300781,8.300781,>5,conf1,indoor_garage,Garage2,Garage2_000468#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000492.png,Garage2_000492,Garage2,492,rgb,Garage2_000492#1,666.484863,411.760620,707.756287,552.891907,8.445312,8.445312,>5,conf1,indoor_garage,Garage2,Garage2_000492#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000552.png,Garage2_000552,Garage2,552,rgb,Garage2_000552#1,553.116333,408.035248,612.141602,550.544922,8.656250,8.656250,>5,conf1,indoor_garage,Garage2,Garage2_000552#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000648.png,Garage2_000648,Garage2,648,rgb,Garage2_000648#1,395.516418,408.379120,455.833374,544.306030,13.695312,13.695312,>5,conf1,indoor_garage,Garage2,Garage2_000648#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000672.png,Garage2_000672,Garage2,672,rgb,Garage2_000672#1,353.892120,406.117218,417.855286,543.222412,,,>5,none,indoor_garage,Garage2,Garage2_000672#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000912.png,Garage2_000912,Garage2,912,rgb,Garage2_000912#1,416.602020,405.860413,487.170685,556.971863,13.468750,13.468750,>5,conf1,indoor_garage,Garage2,Garage2_000912#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000960.png,Garage2_000960,Garage2,960,rgb,Garage2_000960#1,488.333038,404.369751,539.250244,571.653992,7.539062,7.539062,>5,conf2,indoor_garage,Garage2,Garage2_000960#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000996.png,Garage2_000996,Garage2,996,rgb,Garage2_000996#1,537.097168,403.460632,608.825928,588.773438,6.863281,6.863281,>5,conf2,indoor_garage,Garage2,Garage2_000996#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001056.png,Garage2_001056,Garage2,1056,rgb,Garage2_001056#1,644.804321,402.050964,710.362671,618.272705,5.628906,5.628906,>5,conf2,indoor_garage,Garage2,Garage2_001056#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001080.png,Garage2_001080,Garage2,1080,rgb,Garage2_001080#1,688.210876,405.098694,799.967468,648.942444,5.242188,5.242188,>5,conf2,indoor_garage,Garage2,Garage2_001080#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001308.png,Garage2_001308,Garage2,1308,rgb,Garage2_001308#1,766.079346,415.924408,852.276917,677.113525,,,3-5,none,indoor_garage,Garage2,Garage2_001308#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001356.png,Garage2_001356,Garage2,1356,rgb,Garage2_001356#1,660.834595,395.552216,782.575928,719.700317,3.773438,3.773438,3-5,conf2,indoor_garage,Garage2,Garage2_001356#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001380.png,Garage2_001380,Garage2,1380,rgb,Garage2_001380#1,581.462769,396.230072,761.626831,719.592590,3.341797,3.341797,3-5,conf2,indoor_garage,Garage2,Garage2_001380#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001404.png,Garage2_001404,Garage2,1404,rgb,Garage2_001404#1,540.289490,394.630829,671.124756,719.540161,2.982422,2.982422,<3,conf2,indoor_garage,Garage2,Garage2_001404#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001428.png,Garage2_001428,Garage2,1428,rgb,Garage2_001428#1,378.669678,384.094025,604.044495,719.413940,2.640625,2.640625,<3,conf2,indoor_garage,Garage2,Garage2_001428#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001452.png,Garage2_001452,Garage2,1452,rgb,Garage2_001452#1,277.441772,380.715088,411.203125,718.710388,2.382812,2.382812,<3,conf2,indoor_garage,Garage2,Garage2_001452#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001476.png,Garage2_001476,Garage2,1476,rgb,Garage2_001476#1,31.374825,385.631104,246.639542,719.641235,2.925781,2.925781,<3,conf2,indoor_garage,Garage2,Garage2_001476#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001728.png,Garage2_001728,Garage2,1728,rgb,Garage2_001728#1,453.932465,399.639648,531.239319,614.757874,6.023438,6.023438,>5,conf2,indoor_garage,Garage2,Garage2_001728#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001764.png,Garage2_001764,Garage2,1764,rgb,Garage2_001764#1,593.382019,412.896729,654.605530,576.268372,7.171875,7.171875,>5,conf2,indoor_garage,Garage2,Garage2_001764#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001824.png,Garage2_001824,Garage2,1824,rgb,Garage2_001824#1,751.126526,410.335785,785.929810,540.669800,,,>5,none,indoor_garage,Garage2,Garage2_001824#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_002256.png,Garage2_002256,Garage2,2256,rgb,Garage2_002256#1,623.598145,415.805969,664.130310,541.787109,,,>5,none,indoor_garage,Garage2,Garage2_002256#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_002916.png,Garage2_002916,Garage2,2916,rgb,Garage2_002916#1,462.775146,402.339508,503.289429,532.325928,,,>5,none,indoor_garage,Garage2,Garage2_002916#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003000.png,Garage2_003000,Garage2,3000,rgb,Garage2_003000#1,545.002441,405.108948,595.018982,562.989868,7.832031,7.832031,>5,conf2,indoor_garage,Garage2,Garage2_003000#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003060.png,Garage2_003060,Garage2,3060,rgb,Garage2_003060#1,618.810974,407.649261,682.795349,597.779907,6.472656,6.472656,>5,conf1,indoor_garage,Garage2,Garage2_003060#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003408.png,Garage2_003408,Garage2,3408,rgb,Garage2_003408#1,835.500244,404.353882,894.923950,541.865906,,,3-5,none,indoor_garage,Garage2,Garage2_003408#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003576.png,Garage2_003576,Garage2,3576,rgb,Garage2_003576#1,340.693848,398.422211,415.114075,640.184082,4.894531,4.894531,3-5,conf2,indoor_garage,Garage2,Garage2_003576#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003600.png,Garage2_003600,Garage2,3600,rgb,Garage2_003600#1,258.434052,402.637024,381.415527,648.272278,5.050781,5.050781,>5,conf2,indoor_garage,Garage2,Garage2_003600#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003756.png,Garage2_003756,Garage2,3756,rgb,Garage2_003756#1,213.420822,402.230530,259.792908,702.842285,4.023438,4.023438,3-5,conf1,indoor_garage,Garage2,Garage2_003756#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003780.png,Garage2_003780,Garage2,3780,rgb,Garage2_003780#1,235.584824,397.654480,359.087769,704.613403,4.039062,4.039062,3-5,conf2,indoor_garage,Garage2,Garage2_003780#1
