image_path,image_id,sequence,frame_id,viewer,human_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,depth_m,distance_m,distance_class_3,depth_source,scene_type,recording,worker_key,data_source
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001848.png,Garage1_001848,Garage1,1848,rgb,Garage1_001848#2,543.959045,412.958344,574.126526,552.324097,,,>6,none,indoor_garage,Garage1,Garage1_001848#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001872.png,Garage1_001872,Garage1,1872,rgb,Garage1_001872#1,565.576477,405.879883,655.365479,677.092224,4.480469,4.480469,3-6,conf2,indoor_garage,Garage1,Garage1_001872#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001896.png,Garage1_001896,Garage1,1896,rgb,Garage1_001896#1,577.556274,405.235016,666.727051,668.189087,4.687500,4.687500,3-6,conf2,indoor_garage,Garage1,Garage1_001896#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002376.png,Garage1_002376,Garage1,2376,rgb,Garage1_002376#1,493.400757,410.905701,533.806824,564.040283,7.816406,7.816406,>6,conf2,indoor_garage,Garage1,Garage1_002376#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002532.png,Garage1_002532,Garage1,2532,rgb,Garage1_002532#1,379.019257,411.142548,433.652435,595.249023,6.343750,6.343750,>6,conf2,indoor_garage,Garage1,Garage1_002532#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002532.png,Garage1_002532,Garage1,2532,rgb,Garage1_002532#2,565.463257,406.593323,579.460938,447.660217,,,>6,none,indoor_garage,Garage1,Garage1_002532#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002616.png,Garage1_002616,Garage1,2616,rgb,Garage1_002616#1,442.629181,410.961426,493.464752,565.123230,7.828125,7.828125,>6,conf1,indoor_garage,Garage1,Garage1_002616#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002616.png,Garage1_002616,Garage1,2616,rgb,Garage1_002616#2,555.043396,409.125092,570.847595,449.774506,18.328125,18.328125,>6,conf1,indoor_garage,Garage1,Garage1_002616#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002652.png,Garage1_002652,Garage1,2652,rgb,Garage1_002652#1,439.227264,409.601624,485.830261,549.006470,8.601562,8.601562,>6,conf1,indoor_garage,Garage1,Garage1_002652#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002652.png,Garage1_002652,Garage1,2652,rgb,Garage1_002652#2,551.751221,408.816010,566.942078,451.231842,18.539062,18.539062,>6,conf1,indoor_garage,Garage1,Garage1_002652#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002676.png,Garage1_002676,Garage1,2676,rgb,Garage1_002676#1,437.337341,409.276611,480.145294,541.162842,9.000000,9.000000,>6,conf2,indoor_garage,Garage1,Garage1_002676#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002676.png,Garage1_002676,Garage1,2676,rgb,Garage1_002676#2,548.770508,406.610046,564.637329,451.832520,18.421875,18.421875,>6,conf1,indoor_garage,Garage1,Garage1_002676#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002856.png,Garage1_002856,Garage1,2856,rgb,Garage1_002856#1,563.279114,409.504211,600.868286,523.917664,,,>6,none,indoor_garage,Garage1,Garage1_002856#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002856.png,Garage1_002856,Garage1,2856,rgb,Garage1_002856#2,516.202168,403.594951,536.255330,458.127421,,,>6,none,indoor_garage,Garage1,Garage1_002856#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002988.png,Garage1_002988,Garage1,2988,rgb,Garage1_002988#1,557.676636,408.194458,609.904175,567.477539,7.832031,7.832031,>6,conf2,indoor_garage,Garage1,Garage1_002988#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_002988.png,Garage1_002988,Garage1,2988,rgb,Garage1_002988#2,504.042480,406.016418,526.785278,468.470215,,,>6,none,indoor_garage,Garage1,Garage1_002988#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003012.png,Garage1_003012,Garage1,3012,rgb,Garage1_003012#1,540.389099,411.567261,596.049866,578.070007,7.328125,7.328125,>6,conf2,indoor_garage,Garage1,Garage1_003012#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003012.png,Garage1_003012,Garage1,3012,rgb,Garage1_003012#2,505.196136,406.034363,526.525513,471.628052,,,>6,none,indoor_garage,Garage1,Garage1_003012#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003048.png,Garage1_003048,Garage1,3048,rgb,Garage1_003048#1,510.852173,408.012817,569.940125,594.557556,6.619141,6.619141,>6,conf2,indoor_garage,Garage1,Garage1_003048#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_003048.png,Garage1_003048,Garage1,3048,rgb,Garage1_003048#2,504.810791,405.848602,525.746521,446.080811,,,>6,none,indoor_garage,Garage1,Garage1_003048#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000060.png,Garage2_000060,Garage2,60,rgb,Garage2_000060#1,286.664001,387.779846,400.092468,719.264038,2.955078,2.955078,<3,conf2,indoor_garage,Garage2,Garage2_000060#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000084.png,Garage2_000084,Garage2,84,rgb,Garage2_000084#1,355.699341,397.748108,481.197052,719.586182,3.277344,3.277344,3-6,conf2,indoor_garage,Garage2,Garage2_000084#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000120.png,Garage2_000120,Garage2,120,rgb,Garage2_000120#1,479.908997,400.446991,610.769714,706.287720,3.937500,3.937500,3-6,conf2,indoor_garage,Garage2,Garage2_000120#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000144.png,Garage2_000144,Garage2,144,rgb,Garage2_000144#1,537.893188,403.664154,662.238770,696.653137,4.250000,4.250000,3-6,conf2,indoor_garage,Garage2,Garage2_000144#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000168.png,Garage2_000168,Garage2,168,rgb,Garage2_000168#1,579.962524,398.190399,718.824890,672.308533,4.613281,4.613281,3-6,conf2,indoor_garage,Garage2,Garage2_000168#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000216.png,Garage2_000216,Garage2,216,rgb,Garage2_000216#1,696.328125,406.097717,779.691650,636.141724,5.253906,5.253906,3-6,conf2,indoor_garage,Garage2,Garage2_000216#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000648.png,Garage2_000648,Garage2,648,rgb,Garage2_000648#1,395.516418,408.379120,455.833374,544.306030,13.695312,13.695312,>6,conf1,indoor_garage,Garage2,Garage2_000648#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_000912.png,Garage2_000912,Garage2,912,rgb,Garage2_000912#1,416.602020,405.860413,487.170685,556.971863,13.468750,13.468750,>6,conf1,indoor_garage,Garage2,Garage2_000912#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001080.png,Garage2_001080,Garage2,1080,rgb,Garage2_001080#1,688.210876,405.098694,799.967468,648.942444,5.242188,5.242188,3-6,conf2,indoor_garage,Garage2,Garage2_001080#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001308.png,Garage2_001308,Garage2,1308,rgb,Garage2_001308#1,766.079346,415.924408,852.276917,677.113525,,,3-6,none,indoor_garage,Garage2,Garage2_001308#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001356.png,Garage2_001356,Garage2,1356,rgb,Garage2_001356#1,660.834595,395.552216,782.575928,719.700317,3.773438,3.773438,3-6,conf2,indoor_garage,Garage2,Garage2_001356#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001380.png,Garage2_001380,Garage2,1380,rgb,Garage2_001380#1,581.462769,396.230072,761.626831,719.592590,3.341797,3.341797,3-6,conf2,indoor_garage,Garage2,Garage2_001380#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001404.png,Garage2_001404,Garage2,1404,rgb,Garage2_001404#1,540.289490,394.630829,671.124756,719.540161,2.982422,2.982422,<3,conf2,indoor_garage,Garage2,Garage2_001404#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001428.png,Garage2_001428,Garage2,1428,rgb,Garage2_001428#1,378.669678,384.094025,604.044495,719.413940,2.640625,2.640625,<3,conf2,indoor_garage,Garage2,Garage2_001428#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001476.png,Garage2_001476,Garage2,1476,rgb,Garage2_001476#1,31.374825,385.631104,246.639542,719.641235,2.925781,2.925781,<3,conf2,indoor_garage,Garage2,Garage2_001476#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001728.png,Garage2_001728,Garage2,1728,rgb,Garage2_001728#1,453.932465,399.639648,531.239319,614.757874,6.023438,6.023438,>6,conf2,indoor_garage,Garage2,Garage2_001728#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_001824.png,Garage2_001824,Garage2,1824,rgb,Garage2_001824#1,751.126526,410.335785,785.929810,540.669800,,,>6,none,indoor_garage,Garage2,Garage2_001824#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003000.png,Garage2_003000,Garage2,3000,rgb,Garage2_003000#1,545.002441,405.108948,595.018982,562.989868,7.832031,7.832031,>6,conf2,indoor_garage,Garage2,Garage2_003000#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003060.png,Garage2_003060,Garage2,3060,rgb,Garage2_003060#1,618.810974,407.649261,682.795349,597.779907,6.472656,6.472656,>6,conf1,indoor_garage,Garage2,Garage2_003060#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003408.png,Garage2_003408,Garage2,3408,rgb,Garage2_003408#1,835.500244,404.353882,894.923950,541.865906,,,3-6,none,indoor_garage,Garage2,Garage2_003408#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003600.png,Garage2_003600,Garage2,3600,rgb,Garage2_003600#1,258.434052,402.637024,381.415527,648.272278,5.050781,5.050781,3-6,conf2,indoor_garage,Garage2,Garage2_003600#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003900.png,Garage2_003900,Garage2,3900,rgb,Garage2_003900#1,476.016724,383.506897,663.294983,719.372559,2.378906,2.378906,<3,conf2,indoor_garage,Garage2,Garage2_003900#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003924.png,Garage2_003924,Garage2,3924,rgb,Garage2_003924#1,528.471069,383.471283,746.834595,719.351196,1.951172,1.951172,<3,conf2,indoor_garage,Garage2,Garage2_003924#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage2_003972.png,Garage2_003972,Garage2,3972,rgb,Garage2_003972#1,788.318542,343.884003,959.336426,719.030273,1.124023,1.124023,<3,conf2,indoor_garage,Garage2,Garage2_003972#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000060.png,Garage3_000060,Garage3,60,rgb,Garage3_000060#1,4.175709,370.251343,162.607880,719.394775,1.889648,1.889648,<3,conf1,indoor_garage,Garage3,Garage3_000060#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000060.png,Garage3_000060,Garage3,60,rgb,Garage3_000060#2,907.367676,369.847595,959.488770,719.895813,,,<3,none,indoor_garage,Garage3,Garage3_000060#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000132.png,Garage3_000132,Garage3,132,rgb,Garage3_000132#1,214.425705,383.262878,408.678314,718.865417,2.582031,2.582031,<3,conf2,indoor_garage,Garage3,Garage3_000132#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000132.png,Garage3_000132,Garage3,132,rgb,Garage3_000132#2,660.312927,393.267822,813.984192,719.583740,3.066406,3.066406,3-6,conf2,indoor_garage,Garage3,Garage3_000132#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000156.png,Garage3_000156,Garage3,156,rgb,Garage3_000156#1,306.442017,384.445557,430.025024,719.282349,2.859375,2.859375,<3,conf2,indoor_garage,Garage3,Garage3_000156#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000156.png,Garage3_000156,Garage3,156,rgb,Garage3_000156#2,647.354553,399.638580,764.526978,719.441040,3.597656,3.597656,3-6,conf2,indoor_garage,Garage3,Garage3_000156#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000180.png,Garage3_000180,Garage3,180,rgb,Garage3_000180#1,363.960358,384.625244,490.433716,719.457703,3.128906,3.128906,3-6,conf2,indoor_garage,Garage3,Garage3_000180#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000180.png,Garage3_000180,Garage3,180,rgb,Garage3_000180#2,624.227234,396.082031,745.144409,709.951355,4.136719,4.136719,3-6,conf2,indoor_garage,Garage3,Garage3_000180#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000240.png,Garage3_000240,Garage3,240,rgb,Garage3_000240#1,471.505829,393.980896,590.860962,719.722412,3.902344,3.902344,3-6,conf2,indoor_garage,Garage3,Garage3_000240#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000240.png,Garage3_000240,Garage3,240,rgb,Garage3_000240#2,659.256714,405.851807,762.884521,639.923035,5.328125,5.328125,3-6,conf1,indoor_garage,Garage3,Garage3_000240#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000312.png,Garage3_000312,Garage3,312,rgb,Garage3_000312#1,548.837891,396.845764,638.522095,658.546326,4.941406,4.941406,3-6,conf2,indoor_garage,Garage3,Garage3_000312#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000312.png,Garage3_000312,Garage3,312,rgb,Garage3_000312#2,859.333332,410.333328,914.333332,487.333328,,,3-6,none,indoor_garage,Garage3,Garage3_000312#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000408.png,Garage3_000408,Garage3,408,rgb,Garage3_000408#1,519.593994,402.218079,589.184082,595.716064,6.648438,6.648438,>6,conf2,indoor_garage,Garage3,Garage3_000408#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000852.png,Garage3_000852,Garage3,852,rgb,Garage3_000852#1,599.309082,406.202637,656.817871,563.095093,8.164062,8.164062,>6,conf1,indoor_garage,Garage3,Garage3_000852#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000876.png,Garage3_000876,Garage3,876,rgb,Garage3_000876#1,586.916565,406.568024,645.848145,569.999023,7.617188,7.617188,>6,conf2,indoor_garage,Garage3,Garage3_000876#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_000912.png,Garage3_000912,Garage3,912,rgb,Garage3_000912#1,551.922607,404.597534,617.472778,578.845459,7.261719,7.261719,>6,conf2,indoor_garage,Garage3,Garage3_000912#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001248.png,Garage3_001248,Garage3,1248,rgb,Garage3_001248#1,561.271240,405.601227,674.506897,669.868835,5.003906,5.003906,3-6,conf2,indoor_garage,Garage3,Garage3_001248#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001296.png,Garage3_001296,Garage3,1296,rgb,Garage3_001296#1,627.840454,394.645386,759.408447,719.355286,3.771484,3.771484,3-6,conf2,indoor_garage,Garage3,Garage3_001296#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001548.png,Garage3_001548,Garage3,1548,rgb,Garage3_001548#1,126.508530,377.330444,264.130249,719.472778,2.271484,2.271484,<3,conf2,indoor_garage,Garage3,Garage3_001548#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001572.png,Garage3_001572,Garage3,1572,rgb,Garage3_001572#1,231.185211,384.107941,371.969513,719.362183,2.654297,2.654297,<3,conf2,indoor_garage,Garage3,Garage3_001572#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001596.png,Garage3_001596,Garage3,1596,rgb,Garage3_001596#1,261.200775,384.711731,452.391174,719.067627,2.994141,2.994141,<3,conf2,indoor_garage,Garage3,Garage3_001596#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001620.png,Garage3_001620,Garage3,1620,rgb,Garage3_001620#1,336.807495,386.719116,449.710876,719.699341,3.433594,3.433594,3-6,conf2,indoor_garage,Garage3,Garage3_001620#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001788.png,Garage3_001788,Garage3,1788,rgb,Garage3_001788#1,654.949463,400.949615,746.227844,655.487305,5.039062,5.039062,3-6,conf2,indoor_garage,Garage3,Garage3_001788#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001788.png,Garage3_001788,Garage3,1788,rgb,Garage3_001788#2,464.548767,395.527771,535.500793,597.547302,6.574219,6.574219,>6,conf1,indoor_garage,Garage3,Garage3_001788#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001956.png,Garage3_001956,Garage3,1956,rgb,Garage3_001956#1,655.705322,412.677612,703.609314,553.665894,8.703125,8.703125,>6,conf1,indoor_garage,Garage3,Garage3_001956#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001956.png,Garage3_001956,Garage3,1956,rgb,Garage3_001956#2,495.180908,405.620453,534.622925,537.043457,9.843750,9.843750,>6,conf1,indoor_garage,Garage3,Garage3_001956#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001980.png,Garage3_001980,Garage3,1980,rgb,Garage3_001980#1,667.522583,410.560913,723.727417,547.069153,9.312500,9.312500,>6,conf1,indoor_garage,Garage3,Garage3_001980#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_001980.png,Garage3_001980,Garage3,1980,rgb,Garage3_001980#2,482.666840,404.813599,524.115967,530.780457,,,>6,none,indoor_garage,Garage3,Garage3_001980#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_002148.png,Garage3_002148,Garage3,2148,rgb,Garage3_002148#1,444.601074,400.067413,477.104248,500.686798,,,>6,none,indoor_garage,Garage3,Garage3_002148#1,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_002148.png,Garage3_002148,Garage3,2148,rgb,Garage3_002148#2,779.333332,413.333328,818.333332,514.333328,,,>6,none,indoor_garage,Garage3,Garage3_002148#2,workzone_wave1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage3_002580.png,Garage3_002580,Garage3,2580,rgb,Garage3_002580#1,416.164581,404.804169,459.999664,538.132141,,,>6,none,indoor_garage,Garage3,Garage3_002580#1,workzone_wave1
